Title,Price,Ratings,Reviews,Date,Time
N/A,N/A,N/A,[],2023-10-03,11:06:21
"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,3.3,"['131 Ratings &', '32 Reviews']",2023-10-03,11:06:21
"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹549,3.8,"['394 Ratings &', '76 Reviews']",2023-10-03,11:06:22
N/A,N/A,N/A,[],2023-10-03,11:06:22
N/A,N/A,N/A,[],2023-10-03,11:06:22
"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-10-03,11:06:23
N/A,N/A,N/A,[],2023-10-03,11:06:23
"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)",₹899,3.6,"['284 Ratings &', '89 Reviews']",2023-10-03,11:06:24
"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",3.8,"['443 Ratings &', '83 Reviews']",2023-10-03,11:06:24
"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,699",3.9,"['448 Ratings &', '83 Reviews']",2023-10-03,11:06:25
N/A,N/A,N/A,[],2023-10-03,11:06:25
"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",N/A,N/A,[],2023-10-03,11:06:25
"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹1,899",4,"['193 Ratings &', '38 Reviews']",2023-10-03,11:06:26
N/A,N/A,N/A,[],2023-10-03,11:06:26
"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,099",3.7,"['288 Ratings &', '49 Reviews']",2023-10-03,11:06:27
N/A,N/A,N/A,[],2023-10-03,11:06:27
N/A,N/A,N/A,[],2023-10-03,11:06:27
"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",4,"['136 Ratings &', '28 Reviews']",2023-10-03,11:06:27
N/A,N/A,N/A,[],2023-10-03,11:06:27
"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.6,"['95 Ratings &', '28 Reviews']",2023-10-03,11:06:28
"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.9,"['129 Ratings &', '33 Reviews']",2023-10-03,11:06:29
"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",4.3,"['110 Ratings &', '53 Reviews']",2023-10-03,11:06:29
"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)",₹903,3.8,"['133 Ratings &', '39 Reviews']",2023-10-03,11:06:30
N/A,N/A,N/A,[],2023-10-03,11:06:30
"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)",₹999,3.7,"['113 Ratings &', '27 Reviews']",2023-10-03,11:06:31
N/A,N/A,N/A,[],2023-10-03,11:06:31
"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",4,"['408 Ratings &', '84 Reviews']",2023-10-03,11:06:31
"GOVO GOSURROUND 430 | 80 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",4,"['408 Ratings &', '84 Reviews']",2023-10-03,11:06:32
"GOVO GOSURROUND 610 | 100W Bluetooth Soundbar | 2.1 Channel with Wired Subwoofer 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,999",4,"['408 Ratings &', '84 Reviews']",2023-10-03,11:06:33
N/A,N/A,N/A,[],2023-10-03,11:06:33
"GOVO GOSURROUND 900 | 200W Bluetooth Soundbar| 2.1 Channel with 6.5'' Wired Subwoofer 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,499",4.4,"['2,018 Ratings &', '493 Reviews']",2023-10-03,11:06:33
N/A,N/A,N/A,[],2023-10-03,11:06:33
